time;v;t;i;SOC;bal;chg
00:00:00;23,5;21,5;0;97;0;0
00:00:01;23,5;21,0;0;97;0;0
00:00:02;23,5;21,5;0;97;0;0
00:00:04;23,5;21,5;0;97;0;0
00:00:07;23,5;21,0;0;97;0;0
00:00:08;23,5;21,5;0;97;0;0
00:00:09;23,5;21,0;0;97;0;0
00:00:10;23,5;21,5;0;97;0;0
00:00:11;23,5;21,0;0;97;0;0
00:00:12;23,5;21,5;0;97;0;0
00:00:14;23,5;21,0;0;97;0;0
00:00:15;23,5;21,5;0;97;0;0
00:00:16;23,5;21,0;0;97;0;0
00:00:17;23,5;21,5;0;97;0;0
00:00:19;23,5;21,0;0;97;0;0
00:00:20;23,5;21,5;0;97;0;0
00:00:24;23,5;21,0;0;97;0;0
00:00:25;23,5;21,5;0;97;0;0
00:00:26;23,5;21,5;0;97;0;0
00:00:28;23,5;21,0;0;97;0;0
00:00:29;23,5;21,5;0;97;0;0
00:00:32;23,5;21,0;0;97;0;0
00:00:33;23,5;21,5;0;97;0;0
00:00:34;23,5;21,0;0;97;0;0
00:00:35;23,5;21,5;0;97;0;0
00:00:36;23,5;21,0;0;97;0;0
00:00:37;23,5;21,5;0;97;0;0
00:00:39;23,5;21,5;0;97;0;0
00:00:40;23,5;21,5;0;97;0;0
00:00:41;23,5;21,0;0;97;0;0
00:00:42;23,5;21,5;0;97;0;0
00:00:43;23,5;21,5;0;97;0;0
00:00:44;23,5;21,0;0;97;0;0
00:00:45;23,5;21,5;0;97;0;0
00:00:47;23,5;21,5;0;97;0;0
00:00:48;23,5;21,0;0;97;0;0
00:00:49;23,5;21,5;0;97;0;0
00:00:50;23,5;21,5;0;97;0;0
00:00:51;23,5;21,5;0;97;0;0
00:00:53;23,5;21,0;0;97;0;0
00:00:54;23,5;21,5;0;97;0;0
00:00:55;23,5;21,5;0;97;0;0
00:00:56;23,5;21,5;0;97;0;0
00:00:58;23,5;21,5;0;97;0;0
00:00:59;23,5;21,5;0;97;0;0
00:01:00;23,5;21,5;0;97;0;0
00:01:01;23,5;21,5;0;97;0;0
00:01:03;23,5;21,0;0;97;0;0
00:01:06;23,5;21,5;0;97;0;0
00:01:08;23,5;21,0;0;97;0;0
00:01:09;23,5;21,0;0;97;0;0
00:01:10;23,5;21,5;0;97;0;0
00:01:11;23,5;21,5;0;97;0;0
00:01:13;23,5;21,0;0;97;0;0
00:01:14;23,5;21,5;0;97;0;0
00:01:15;23,5;21,5;0;97;0;0
00:01:16;23,5;21,5;0;97;0;0
00:01:17;23,5;21,5;0;97;0;0
00:01:20;23,5;21,5;0;97;0;0
00:01:21;23,5;21,0;0;97;0;0
00:01:22;23,5;21,0;0;97;0;0
00:01:23;23,5;21,0;0;97;0;0
00:01:24;23,5;21,5;0;97;0;0
00:01:25;23,5;21,5;0;97;0;0
00:01:28;23,5;21,0;0;97;0;0
00:01:29;23,5;21,5;0;97;0;0
00:01:31;23,5;21,0;0;97;0;0
00:01:32;23,5;21,5;0;97;0;0
00:01:33;23,5;21,0;0;97;0;0
00:01:34;23,5;21,5;0;97;0;0
00:01:36;23,5;21,0;0;97;0;0
00:01:38;23,5;21,0;0;97;0;0
00:01:39;23,5;21,5;0;97;0;0
00:01:40;23,5;21,0;0;97;0;0
00:01:41;23,5;21,5;0;97;0;0
00:01:42;23,5;21,5;0;97;0;0
00:01:43;23,5;21,5;0;97;0;0
00:01:44;23,5;21,0;0;97;0;0
00:01:45;23,5;21,5;0;97;0;0
00:01:47;23,5;21,0;0;97;0;0
00:01:48;23,5;21,5;0;97;0;0
00:01:49;23,5;21,0;0;97;0;0
00:01:50;23,5;21,5;0;97;0;0
