time;v;t;i;SOC;bal;chg
21:52:46;23,5;21,0;0;98;0;0
21:52:47;23,5;21,5;0;98;0;0
21:52:50;23,5;21,0;0;98;0;0
21:52:53;23,5;21,0;0;98;0;0
21:52:54;23,5;21,0;0;98;0;0
21:52:55;23,5;21,0;0;98;0;0
21:52:58;23,5;21,0;0;98;0;0
21:52:59;23,44;21,5;0;98;0;0
21:53:00;23,44;21,5;0;98;0;0
21:53:01;23,44;21,5;0;98;0;0
21:53:02;23,5;21,5;0;98;0;0
21:53:03;23,5;21,5;0;98;0;0
21:53:04;23,5;21,0;0;98;0;0
21:53:05;23,5;21,0;0;98;0;0
21:53:07;23,5;21,0;0;98;0;0
21:53:09;23,5;21,0;0;98;0;0
21:53:11;23,5;21,0;0;98;0;0
21:53:13;23,5;21,0;0;98;0;0
21:53:14;23,5;21,0;0;98;0;0
21:53:16;23,5;21,0;0;98;0;0
21:53:17;23,5;21,0;0;98;0;0
21:53:21;23,5;21,0;0;98;0;0
21:53:22;23,44;21,0;0;98;0;0
21:53:23;23,5;21,0;0;98;0;0
21:53:25;23,44;21,0;0;98;0;0
21:53:26;23,5;21,0;0;98;0;0
21:53:27;23,44;21,0;0;98;0;0
21:53:29;23,44;21,0;0;98;0;0
21:53:31;23,44;21,0;0;98;0;0
21:53:33;23,44;21,0;0;98;0;0
21:53:34;23,44;21,0;0;98;0;0
21:53:35;23,44;21,0;0;98;0;0
21:53:38;23,44;21,0;0;98;0;0
21:53:42;23,5;21,0;0;98;0;0
21:53:43;23,44;21,0;0;98;0;0
21:53:44;23,44;21,0;0;98;0;0
21:53:45;23,44;21,0;0;98;0;0
21:53:49;23,44;21,0;0;98;0;0
21:53:52;23,44;21,0;0;98;0;0
21:53:54;23,44;21,0;0;98;0;0
21:53:56;23,44;21,0;0;98;0;0
21:53:58;23,44;21,0;0;98;0;0
21:53:59;23,44;21,0;0;98;0;0
21:54:00;23,44;21,0;0;98;0;0
21:54:01;23,44;21,0;0;98;0;0
21:54:02;23,44;21,0;0;98;0;0
21:54:03;23,44;21,0;11,5;98;0;0
21:54:04;23,38;21,0;22,25;98;0;0
21:54:05;23,44;21,5;0;98;0;0
21:54:06;23,44;21,0;0;98;0;0
21:54:07;23,44;21,0;0;98;0;0
21:54:08;23,44;21,5;0;98;0;0
21:54:09;23,44;21,0;0;98;0;0
21:54:10;23,44;21,0;0;98;0;0
21:54:11;23,44;21,0;0;98;0;0
