time;v;t;i;SOC;bal;chg
00:00:00;21,06;27,5;-58,13;10;0;100
00:00:01;21,06;27,5;-58,13;10;0;100
00:00:02;21,06;27,5;-58,5;10;0;100
00:00:03;21,13;27,5;-58,13;10;0;100
00:00:04;21,13;27,5;-58,5;10;0;100
00:00:05;21,13;27,5;-58,13;10;0;100
00:00:06;21,13;27,5;-58,13;10;0;100
00:00:07;21,13;27,5;-58,5;10;0;100
00:00:08;21,13;27,5;-58,5;10;0;100
00:00:09;21,13;27,5;-58,13;10;0;100
00:00:10;21,13;27,5;-58,13;10;0;100
00:00:11;21,13;27,5;-58,13;10;0;100
00:00:12;21,13;27,5;-58,5;10;0;100
00:00:13;21,13;27,5;-58,13;10;0;100
00:00:14;21,19;27,5;-58,5;10;0;100
00:00:15;21,19;27,5;-58,13;10;0;100
00:00:16;21,19;27,5;-58,5;10;0;100
00:00:17;21,19;27,5;-58,13;10;0;100
00:00:18;21,19;27,5;-58,5;10;0;100
00:00:19;21,19;27,5;-58,5;10;0;100
00:00:20;21,19;27,5;-58,5;10;0;100
00:00:21;21,19;27,5;-58,5;10;0;100
00:00:22;21,25;27,5;-58,13;10;0;100
00:00:23;21,25;27,5;-58,5;10;0;100
00:00:24;21,25;27,5;-58,5;10;0;100
00:00:25;21,25;27,5;-58,5;10;0;100
00:00:26;21,25;27,5;-58,5;10;0;100
00:00:27;21,25;27,5;-58,5;10;0;100
00:00:28;21,25;27,5;-58,13;10;0;100
00:00:29;21,25;27,5;-58,13;10;0;100
00:00:30;21,25;27,5;-58,5;10;0;100
00:00:31;21,25;27,5;-58,5;10;0;100
00:00:32;21,25;27,5;-58,5;10;0;100
00:00:33;21,25;27,5;-58,13;10;0;100
00:00:34;21,25;27,5;-58,13;10;0;100
00:00:35;21,25;27,5;-58,5;10;0;100
00:00:36;21,31;27,5;-58,13;10;0;100
00:00:37;21,31;27,5;-58,13;10;0;100
00:00:38;21,31;27,5;-58,13;10;0;100
00:00:39;21,31;27,5;-58,5;10;0;100
00:00:40;21,31;27,5;-58,13;10;0;100
00:00:41;21,31;27,5;-58,13;10;0;100
00:00:42;21,31;27,5;-58,5;10;0;100
00:00:43;21,31;27,5;-58,13;10;0;100
00:00:44;21,31;27,5;-58,13;10;0;100
00:00:45;21,31;27,5;-57,88;10;0;100
00:00:46;21,31;27,5;-58,13;10;0;100
00:00:47;21,31;27,5;-58,5;10;0;100
00:00:48;21,31;27,5;-58,5;10;0;100
00:00:49;21,31;27,5;-57,88;10;0;100
00:00:50;21,31;27,5;-58,13;10;0;100
00:00:51;21,31;27,5;-58,13;10;0;100
00:00:52;21,31;27,5;-58,13;10;0;100
00:00:53;21,38;27,5;-58,5;10;0;100
00:00:54;21,38;27,5;-58,5;10;0;100
00:00:55;21,38;27,5;-58,5;10;0;100
00:00:56;21,38;27,5;-58,5;10;0;100
00:00:57;21,38;27,5;-58,5;10;0;100
00:00:58;21,38;27,5;-58,13;10;0;100
00:00:59;21,38;27,5;-58,5;10;0;100
00:01:00;21,38;27,5;-58,5;10;0;100
00:01:01;21,38;27,5;-58,13;10;0;100
00:01:02;21,38;27,5;-58,5;10;0;100
00:01:03;21,38;27,5;-58,5;10;0;100
00:01:04;21,44;27,5;-58,13;10;0;100
00:01:05;21,44;27,5;-58,13;10;0;100
00:01:06;21,44;27,5;-58,13;10;0;100
00:01:07;21,44;27,5;-58,5;10;0;100
00:01:08;21,44;27,5;-58,13;10;0;100
00:01:09;21,44;27,5;-58,13;10;0;100
00:01:10;21,44;27,5;-58,13;10;0;100
00:01:11;21,44;27,5;-58,13;10;0;100
00:01:12;21,44;27,5;-58,13;10;0;100
00:01:13;21,44;27,5;-58,13;10;0;100
