time;v;t;i;SOC;bal;chg
00:00:00;48,81;29,5;0;56;0;0
00:00:01;48,81;29,5;0;56;0;0
00:00:03;48,81;29,5;0;56;0;0
00:00:04;48,81;29,5;0;56;0;0
00:00:05;48,88;29,5;0;56;0;0
00:00:06;48,81;29,5;0;56;0;0
00:00:07;48,81;29,5;0;56;0;0
00:00:09;48,81;29,5;0;56;0;0
00:00:10;48,81;29,5;0;56;0;0
00:00:11;48,81;29,5;0;56;0;0
00:00:12;48,81;29,5;0;56;0;0
00:00:13;48,81;29,5;0;56;0;0
00:00:15;48,81;29,5;0;56;0;0
00:00:16;48,81;29,5;0;56;0;0
00:00:17;48,81;29,5;0;56;0;0
00:00:18;48,81;29,5;0;56;0;0
00:00:19;48,81;29,5;0;56;0;0
00:00:20;48,81;29,5;0;56;0;0
00:00:21;48,81;29,5;0;56;0;0
00:00:23;48,81;29,5;0;56;0;0
00:00:24;48,81;29,5;0;56;0;0
00:00:25;48,81;29,5;0;56;0;0
00:00:26;48,81;29,5;0;56;0;0
00:00:27;48,81;29,5;0;56;0;0
00:00:28;48,81;29,5;0;56;0;0
00:00:29;48,81;29,5;0;56;0;0
00:00:30;48,81;29,5;0;56;0;0
00:00:31;48,81;29,5;0;56;0;0
00:00:32;48,81;29,5;0;56;0;0
00:00:34;48,81;29,5;0;56;0;0
00:00:35;48,81;29,5;0;56;0;0
00:00:36;48,81;29,5;0;56;0;0
00:00:37;48,81;29,5;0;56;0;0
00:00:38;48,81;29,5;0;56;0;0
00:00:39;48,81;29,5;0;56;0;0
00:00:40;48,81;29,5;0;56;0;0
00:00:41;48,81;29,5;0;56;0;0
00:00:42;48,81;29,5;0;56;0;0
00:00:43;48,81;29,5;0;56;0;0
00:00:45;48,81;29,5;0;56;0;0
00:00:46;48,81;29,5;0;56;0;0
00:00:47;48,81;29,5;0;56;0;0
00:00:48;48,81;29,5;0;56;0;0
00:00:49;48,81;29,5;0;56;0;0
