time;v;t;i;SOC;bal;chg
00:00:06;21,5;27,5;0;11;0;100
00:00:07;21,56;27,5;0;11;0;100
00:00:08;21,5;27,5;0;11;0;100
00:00:09;21,56;27,5;0;11;0;100
00:00:10;21,5;27,5;0;11;0;100
00:00:11;21,56;27,5;0;11;0;100
00:00:12;21,56;27,5;0;11;0;100
00:00:13;21,5;27,5;0;11;0;100
00:00:14;21,56;27,5;0;11;0;100
00:00:15;21,5;27,5;0;11;0;100
00:00:16;21,56;27,5;0;11;0;100
00:00:17;21,5;27,5;0;11;0;100
00:00:18;21,5;27,5;0;11;0;100
00:00:19;21,56;27,5;0;11;0;100
00:00:21;21,5;27,5;0;11;0;100
00:00:22;21,56;27,5;0;11;0;100
00:00:23;21,5;27,5;0;11;0;100
00:00:24;21,56;27,5;0;11;0;100
00:00:25;21,5;27,5;0;11;0;100
00:00:26;21,5;27,5;0;11;0;100
00:00:27;21,56;27,5;0;11;0;100
00:00:28;21,5;27,5;0;11;0;100
00:00:31;21,56;27,5;0;11;0;100
00:00:32;21,5;27,5;0;11;0;100
00:00:34;21,56;27,5;0;11;0;100
00:00:35;21,5;27,5;0;11;0;100
00:00:36;21,56;27,5;0;11;0;100
00:00:37;21,5;27,5;0;11;0;100
00:00:39;21,56;27,5;0;11;0;100
00:00:40;21,5;27,5;0;11;0;100
00:00:42;21,5;27,5;0;11;0;100
00:00:43;21,56;27,5;0;11;0;100
00:00:44;21,5;27,5;0;11;0;100
00:00:47;21,56;27,5;0;11;0;100
00:00:48;21,56;27,5;0;11;0;100
00:00:49;21,5;27,5;0;11;0;100
00:00:50;21,56;27,5;0;11;0;100
00:00:52;21,56;27,5;0;11;0;100
00:00:53;21,5;27,5;0;11;0;100
00:00:54;21,5;27,5;0;11;0;100
00:00:55;21,56;27,5;0;11;0;100
00:00:57;21,56;27,5;0;11;0;100
00:00:58;21,5;27,5;0;11;0;100
00:00:59;21,56;27,5;0;11;0;100
00:01:00;21,5;27,5;0;11;0;100
